contagem_viagens,contagem_acumulada,rank,freq_acumulada
1296,1296,1,2.797867058137778
640,1936,2,4.179529802897174
623,2559,3,5.524492130998899
587,3146,4,6.791735929707908
475,3621,5,7.817188748084022
458,4079,6,8.805941149802464
387,4466,7,9.641415340774163
378,4844,8,10.45745989939768
369,5213,9,11.25407482567302
320,5533,10,11.94490619805272
320,5853,11,12.635737570432418
277,6130,12,13.233738477148593
276,6406,13,13.829580535826084
275,6681,14,14.423263746464887
270,6951,15,15.006152716910256
269,7220,16,15.58688283931694
266,7486,17,16.161136417607562
264,7750,18,16.731072299820816
264,8014,19,17.301008182034067
236,8250,20,17.810496319164095
232,8482,21,18.311349064139375
232,8714,22,18.812201809114658
230,8944,23,19.308736858012566
228,9172,24,19.800954210833098
227,9399,25,20.291012715614947
219,9618,26,20.763800436087305
215,9833,27,21.227952764404915
215,10048,28,21.692105092722525
202,10250,29,22.12819239653721
198,10448,30,22.555644308197145
194,10642,31,22.97446082770234
192,10834,32,23.388959651130158
187,11021,33,23.792664234364544
187,11208,34,24.19636881759893
185,11393,35,24.59575570475594
183,11576,36,24.99082489583558
180,11756,37,25.37941754279916
177,11933,38,25.761533645646683
175,12108,39,26.13933205241683
172,12280,40,26.510653915070918
172,12452,41,26.881975777725003
170,12622,42,27.24897994430172
169,12791,43,27.613825262839747
169,12960,44,27.97867058137778
163,13123,45,28.330562811683684
161,13284,46,28.67813734591222
160,13444,47,29.023553032102072
158,13602,48,29.364651022214545
154,13756,49,29.697113620172278
154,13910,50,30.029576218130003
151,14061,51,30.355562271971674
150,14211,52,30.67938947777466
148,14359,53,30.99889898750027
147,14506,54,31.316249649187196
146,14652,55,31.63144146283543
144,14796,56,31.942315580406294
144,14940,57,32.253189697977156
144,15084,58,32.564063815548025
142,15226,59,32.870620237041514
141,15367,60,33.17501781049632
140,15507,61,33.47725653591244
138,15645,62,33.77517756525118
138,15783,63,34.07309859458993
134,15917,64,34.36238423177392
134,16051,65,34.651669868957924
133,16184,66,34.938796658103236
133,16317,67,35.22592344724855
129,16446,68,35.504414844239115
128,16574,69,35.78074739319099
125,16699,70,36.050603398026816
123,16822,71,36.31614170678526
123,16945,72,36.581680015543704
123,17068,73,36.84721832430215
121,17189,74,37.10843893698323
121,17310,75,37.3696595496643
121,17431,76,37.63088016234537
120,17551,77,37.88994192698776
119,17670,78,38.14684484359146
118,17788,79,38.40158891215648
118,17906,80,38.65633298072149
116,18022,81,38.906759353209125
115,18137,82,39.15502687765808
114,18251,83,39.401135554068354
114,18365,84,39.64724423047862
110,18475,85,39.884717514734135
110,18585,86,40.12219079898966
109,18694,87,40.35750523520649
109,18803,88,40.59281967142333
108,18911,89,40.82597525960148
108,19019,90,41.05913084777962
106,19125,91,41.2879687398804
105,19230,92,41.514647783942486
104,19334,93,41.73916797996589
104,19438,94,41.9636881759893
103,19541,95,42.186049523974006
102,19643,96,42.40625202392004
101,19744,97,42.624295675827376
101,19845,98,42.84233932773472
100,19945,99,43.05822413160338
100,20045,100,43.274108935472036
98,20143,101,43.48567604326332
98,20241,102,43.6972431510546
98,20339,103,43.90881025884588
97,20436,104,44.118218518598475
97,20533,105,44.32762677835107
97,20630,106,44.53703503810367
96,20726,107,44.74428444981758
96,20822,108,44.95153386153149
94,20916,109,45.154465577168025
93,21009,110,45.355238444765874
93,21102,111,45.55601131236372
93,21195,112,45.75678417996157
92,21287,113,45.95539819952074
91,21378,114,46.15185337104121
91,21469,115,46.34830854256169
91,21560,116,46.544763714082166
90,21650,117,46.73906003756396
90,21740,118,46.933356361045746
89,21829,119,47.12549383648885
89,21918,120,47.317631311931954
88,22006,121,47.50760993933637
87,22093,122,47.6954297187021
86,22179,123,47.881090650029144
86,22265,124,48.066751581356186
85,22350,125,48.250253664644546
83,22433,126,48.42943805185553
83,22516,127,48.608622439066515
82,22598,128,48.78564797823881
